Compound_ID,Protein_ID,Label
DB07952,P00929,1
DB04296,O31158,0
DB00724,Q9NR97,1
DB07150,Q15080,0
DB00675,P05771,1
DB00266,P40859,0
DB14001,P67775,1
DB04720,P19021,0
DB09241,P33402,1
DB03777,P83223,0
DB00126,P24300,1
DB11811,Q81ZL8,0
DB00157,P07327,1
DB03306,Q5T601,0
DB02836,P0A7D4,1
DB01151,P49247,0
DB04310,Q9I7A8,1
DB07747,P21333,0
DB04473,P01857,1
DB00288,O67135,0
DB02659,Q8TDU6,1
DB08954,Q96D53,0
DB03900,P47228,1
DB01137,P19652,0
DB07348,Q99418,1
DB06949,Q9ULC6,0
DB11348,Q75N90,1
DB03903,P57059,0
DB03053,Q00740,1
DB08309,P80075,0
DB07771,P49354,1
DB07022,P72525,0
DB08818,P98066,1
DB00151,P28331,0
DB02757,P03372,1
DB04482,P16109,0
DB08447,Q9NZK7,1
DB01021,Q9Y6Y9,0
DB01642,Q79G13,1
DB02597,P50052,0
DB03186,P07998,1
DB13931,Q9Y3R4,0
DB06603,Q8WUI4,1
DB06689,P06746,0
DB00543,Q01959,1
DB00714,P80377,0
DB04703,Q96GD4,1
DB04426,Q6UWP2,0
DB01752,P25924,1
DB00426,Q51782,0
DB01138,P33527,1
DB06700,Q8IVH4,0
DB01709,O66496,1
DB04491,Q15942,0
DB07331,P06875,1
DB02148,P35354,0
DB00250,P0C0X2,1
DB08715,Q9HCR9,0
DB08690,Q9UDW1,1
DB03034,P23827,0
DB02534,P00720,1
DB07424,Q06110,0
DB01444,P41143,1
DB02465,O75311,0
DB00683,P28472,1
DB03951,O43677,0
DB14481,O75340,1
DB05956,P07332,0
DB03147,P11310,1
DB08313,P07602,0
DB04083,P00509,1
DB00131,Q9P2W7,0
DB03814,P23946,1
DB01833,P0A917,0
DB00014,P30968,1
DB08357,P16304,0
DB07744,P29466,1
DB00151,P49411,0
DB04272,P33644,1
DB01852,P05193,0
DB02210,P04054,1
DB01815,Q8IVL6,0
DB00852,P17544,1
DB05553,F1L7U3,0
DB08044,P27487,1
DB07275,P08519,0
DB00228,P98194,1
DB03515,P35346,0
DB00722,P12821,1
DB06506,P82543,0
DB00463,P48169,1
DB08695,Q7DHH4,0
DB00321,Q16620,1
DB00316,Q9Y221,0
DB00189,P78334,1
DB08028,P28593,0
DB01985,Q05581,1
DB02910,Q47764,0
DB11348,Q96L12,1
DB06468,P10147,0
DB14487,P00450,1
DB02728,P61889,0
DB00852,P60568,1
DB01053,Q2M2I8,0
DB04753,P00491,1
DB06660,Q44532,0
DB02526,P07477,1
DB02404,P13866,0
DB11638,Q8IDP1,1
DB03015,P19784,0
DB03822,P0A434,1
DB00115,Q15637,0
DB06714,Q05940,1
DB08822,P40926,0
DB00210,P19793,1
DB08755,Q00653,0
DB09389,P18405,1
DB04408,Q45515,0
DB00801,P18505,1
DB07577,Q14831,0
DB00157,O95479,1
DB03611,Q8MU52,0
DB08185,Q5SIH3,1
DB00303,P15813,0
DB09130,P15880,1
DB03277,O87949,0
DB00114,P00505,1
DB09053,Q10588,0
DB01806,Q54528,1
DB08387,P56653,0
DB00280,Q12809,1
DB01149,P00439,0
DB00289,P23975,1
DB00165,P51511,0
DB01238,P18825,1
DB01420,P34903,0
DB06732,P03372,1
DB02838,Q99542,0
DB00170,P02818,1
DB02322,P0AB71,0
DB03308,P43133,1
DB07491,P42858,0
DB03721,P03472,1
